#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
43500,2341.9946449549425,467.6491919788205,2809.643836933763,300.77684306481626,2.83e+03
44000,2374.4455645871894,473.16271687773764,2847.608281464927,304.32296404973323,2.84e+03
44500,2422.9627172182886,450.60091444353407,2873.563631661823,289.81194205630885,2.84e+03
45000,2383.0178133588333,434.26802521937054,2817.2858385782038,279.30715568389115,2.84e+03
45500,2446.5190807552567,484.0826027723338,2930.6016835275905,311.34628166118205,2.84e+03
46000,2423.790125186149,412.65036615742474,2836.4404913435737,265.40337618714807,2.84e+03
46500,2381.4694829405653,411.6201471853795,2793.089630125945,264.740772647161,2.84e+03
47000,2394.6218720888733,462.838384922223,2857.4602570110965,297.6826874800401,2.84e+03
47500,2368.6115193414216,499.873388573515,2868.4849079149367,321.50240463595907,2.84e+03
48000,2446.3351450378805,434.6714246938652,2881.006569731746,279.5666091856049,2.84e+03
48500,2380.5345636099446,418.1808579325377,2798.7154215424825,268.9604097183634,2.84e+03
49000,2391.3656467682163,433.79093539162716,2825.1565821598433,279.0003069290803,2.84e+03
49500,2355.8109976337137,449.13659372283183,2804.9475913565457,288.8701383043478,2.84e+03
50000,2424.749231084579,491.4573789094864,2916.2066099940657,316.0894992757716,2.84e+03
50500,2419.5995542832975,519.5861829326011,2939.1857372158984,334.181036732431,2.82e+03
51000,2441.8548234485497,465.296156524454,2907.150979973004,299.2634467247324,2.82e+03
51500,2453.017139523093,544.942302731463,2997.959442254556,350.4892733257712,2.83e+03
52000,2456.690271196409,433.1219560040095,2889.8122272004184,278.5700410123754,2.83e+03
52500,2380.7161667487935,501.94167054999144,2882.657837298785,322.8326567439978,2.83e+03
53000,2459.905312180857,452.5325543495486,2912.4378665304057,291.0543104017146,2.83e+03
53500,2399.3709712286286,512.6462946704294,2912.0172658990577,329.71752494085473,2.83e+03
54000,2387.2966971923843,417.806455451725,2805.1031526441093,268.71960614562977,2.83e+03
54500,2323.7195969562495,481.79243830170054,2805.51203525795,309.8733219054696,2.83e+03
55000,2476.9099678397306,496.95269885685025,2973.862666696581,319.6239114243423,2.83e+03
55500,2439.2067957602517,473.13220624225875,2912.3390020025104,304.3033405952792,2.83e+03
56000,2375.612637875203,466.53798362149706,2842.1506214967,300.0621497702791,2.83e+03
56500,2431.0554053941455,479.8273957520441,2910.8828011461896,308.6094700594463,2.83e+03
57000,2381.264632390288,442.5090637888989,2823.773696179187,284.60752529220724,2.83e+03
57500,2380.5133316175934,461.56938865477406,2842.0827202723676,296.86651010235823,2.83e+03
58000,2406.192173777469,453.76369136342925,2859.9558651408984,291.8461379313386,2.83e+03
58500,2472.6882936741495,465.3388266236385,2938.027120297788,299.29089075317535,2.83e+03
59000,2369.8640513495516,458.1073695212124,2827.9714208707637,294.6398513087944,2.83e+03
59500,2385.036568630522,476.489922187718,2861.5264908182403,306.46291494995785,2.83e+03
60000,2451.1786166713327,441.2129852363367,2892.3916019076696,283.7739294642018,2.84e+03
60500,2446.4862457419918,403.9230830391316,2850.4093287811233,259.7902698033954,2.84e+03
61000,2329.891466479753,462.4160777517263,2792.3075442314794,297.41107315946755,2.84e+03
61500,2382.4868116878006,450.6625985407621,2833.149410228563,289.85161527364727,2.84e+03
62000,2355.6698997414696,454.0503021423386,2809.7202018838084,292.03047671936025,2.84e+03
62500,2440.1744923675883,482.6997596345558,2922.874252002144,310.4568816567156,2.84e+03
63000,2401.794111224627,509.10653566340727,2910.9006468880343,327.44086637369827,2.84e+03
63500,2447.86839559107,477.9386333603267,2925.8070289513967,307.39467914517905,2.84e+03
64000,2442.9540434027685,501.71393660019964,2944.6679800029683,322.68618562921364,2.84e+03
64500,2463.548832896339,432.7115859418136,2896.2604188381524,278.3061042539832,2.84e+03
65000,2492.3126929567766,455.3134492605106,2947.626142217287,292.84289211330673,2.84e+03
65500,2422.2475673039107,455.8910897144039,2878.1386570183145,293.2144117804602,2.84e+03
66000,2344.4424017826973,527.167140232309,2871.6095420150064,339.05686340576904,2.84e+03
66500,2410.518527281366,474.9436437125862,2885.462170993952,305.46839861971205,2.84e+03
67000,2411.8738330996057,451.03091431183543,2862.9047474114413,290.0885040714354,2.84e+03
67500,2468.46186953072,439.76713720931457,2908.2290067400345,282.84400675166785,2.84e+03
68000,2422.015980962683,439.17860793539955,2861.1945888980827,282.4654837474682,2.84e+03
68500,2432.54182620395,463.1355789080699,2895.67740511202,297.8738330446515,2.84e+03
69000,2422.4916547024263,468.6467286878272,2891.1383833902537,301.41842642970295,2.84e+03
69500,2429.612516459847,433.64536594029136,2863.2578824001384,278.9066813636555,2.84e+03
70000,2419.013608121303,482.66215129977166,2901.675759421075,310.4326931915085,2.84e+03
70500,2392.2398946186204,436.5244360898472,2828.7643307084677,280.75840621510093,2.84e+03
71000,2405.580229715203,413.9620216056551,2819.542251320858,266.24699057090896,2.84e+03
71500,2393.9876257286273,482.91946470556513,2876.9070904341925,310.5981888562082,2.84e+03
72000,2406.2855584672984,470.1386448661973,2876.424203333496,302.37797868798594,2.84e+03
72500,2431.3531330489245,516.6247208197035,2947.977853868628,332.2763200335647,2.84e+03
73000,2433.1539579174478,505.0703456209815,2938.2243035384295,324.8449194121874,2.84e+03
73500,2443.3997672754135,504.2945359817262,2947.69430325714,324.3459437310212,2.84e+03
74000,2451.608003179922,468.21074723094614,2919.8187504108682,301.13801725016265,2.84e+03
74500,2479.115588117063,443.2905551113038,2922.406143228367,285.1101552483093,2.84e+03
75000,2489.9463931879036,437.3212180277283,2927.267611215632,281.2708706007933,2.84e+03
75500,2406.321021155532,443.4404647720701,2849.761485927602,285.2065722961383,2.84e+03
76000,2420.558291521956,483.8670654000013,2904.4253569219572,311.2076549907535,2.84e+03
76500,2437.6894381491625,510.52585011817814,2948.215288267341,328.35372355028375,2.84e+03
77000,2468.2176073155783,440.54726084216145,2908.76486815774,283.3457570540582,2.84e+03
77500,2413.4315322462917,463.6281150331658,2877.0596472794573,298.1906163586029,2.84e+03
78000,2435.3689200614385,453.0920698275207,2888.4609898889594,291.41417267026304,2.84e+03
78500,2436.1357501485504,507.5773302846425,2943.7130804331928,326.4573309071312,2.84e+03
79000,2436.353653568453,464.69586664853927,2901.0495202169923,298.8773596814994,2.84e+03
79500,2453.6399931816527,475.2572789885923,2928.897272170245,305.6701186906731,2.84e+03
80000,2367.2599975748444,518.1574228923891,2885.4174204672336,333.26210446062765,2.84e+03
80500,2364.6976421190902,436.0994518501632,2800.797093969253,280.48507009016595,2.84e+03
81000,2416.1361210412724,427.7334284184098,2843.8695494596823,275.10431425872423,2.84e+03
81500,2418.1728044182446,512.2478316449113,2930.420636063156,329.46124640354725,2.84e+03
82000,2434.989398044683,454.700901574323,2889.690299619006,292.44892124275185,2.84e+03
82500,2436.0343460203294,497.1484542710228,2933.182800291352,319.7498149787535,2.84e+03
83000,2402.095784239198,477.8983009530564,2879.9940851922547,307.3687386446071,2.84e+03
83500,2437.1810056333634,429.0674993881793,2866.2485050215428,275.96234558133546,2.84e+03
84000,2438.9014819389245,417.759760029869,2856.6612419687935,268.68957315976706,2.84e+03
84500,2406.477951087113,440.6592916323893,2847.1372427195024,283.4178116368282,2.84e+03
85000,2436.400790642611,470.3331120581491,2906.73390270076,302.5030536995078,2.84e+03
85500,2384.7816619196633,424.83014384445227,2809.6118057641156,273.23701547225846,2.84e+03
86000,2434.196067355757,433.44551675569636,2867.641584111453,278.7781448284437,2.84e+03
86500,2443.944220692211,462.7130714961232,2906.657292188334,297.60208993525134,2.84e+03
87000,2432.0005104743886,501.28098123979163,2933.2814917141804,322.40772273710326,2.84e+03
87500,2501.6873997657503,485.7671414329633,2987.4545411987137,312.4297224733448,2.84e+03
88000,2447.168442248848,490.97257143715194,2938.141013686,315.77768678144014,2.84e+03
88500,2432.7426882607456,475.3541853253381,2908.096873586084,305.73244571387625,2.84e+03
89000,2407.488635143808,513.1807950162734,2920.6694301600814,330.0612982850569,2.84e+03
89500,2392.4533864622795,498.93794199062677,2891.3913284529062,320.90075563306794,2.84e+03
90000,2400.043942385593,457.2216995492357,2857.2656419348286,294.0702170129641,2.84e+03
90500,2404.563494096525,449.22326039129786,2853.786754487823,288.92587950392056,2.84e+03
91000,2402.4292782790926,482.9807855784963,2885.4100638575887,310.63762845942057,2.84e+03
91500,2445.7568068039727,511.43863159785235,2957.195438401825,328.9407950914591,2.84e+03
92000,2434.4356020685755,407.3772958317339,2841.8128979003095,262.0119078108018,2.84e+03
92500,2448.6132855017627,518.2554528500402,2966.8687383518027,333.3251541604749,2.84e+03
93000,2419.44940106552,455.58415936973427,2875.033560435254,293.01700410459125,2.84e+03
93500,2415.3653105196295,519.0959602845093,2934.4612708041386,333.8657413721033,2.84e+03
94000,2429.968605949283,570.6433218087636,3000.6119277580465,367.0193379857978,2.84e+03
94500,2385.4262909512145,498.56608110044505,2883.9923720516595,320.66158672926883,2.84e+03
95000,2395.495399968011,467.99180499621684,2863.487204964228,300.9972006823059,2.84e+03
95500,2386.256357725352,506.4087457390631,2892.6651034644146,325.70573510304905,2.84e+03
96000,2433.7169962002695,475.8749605665046,2909.5919567667743,306.06739151442724,2.84e+03
96500,2425.8182763515715,449.1270943396958,2874.9453706912673,288.8640286081915,2.84e+03
97000,2382.1685710170564,449.05242532752544,2831.2209963445816,288.8160039133121,2.84e+03
97500,2437.057143218874,413.26808582178694,2850.325229040661,265.80067350687557,2.84e+03
98000,2363.994121369523,459.2384923126782,2823.232613682201,295.36735292361845,2.84e+03
98500,2448.284599477057,468.7785415269052,2917.0631410039623,301.5032041868194,2.84e+03
99000,2459.293514317439,495.50826656504233,2954.8017808824816,318.6948992669332,2.84e+03
99500,2415.680244677492,469.896118226168,2885.57636290366,302.22199339302915,2.84e+03
100000,2359.805378415817,453.5745269583752,2813.3799053741923,291.7244735009316,2.84e+03
100500,2396.6110620605637,509.58870807084645,2906.1997701314103,327.75098407947013,2.84e+03
101000,2421.193371158451,497.738852196992,2918.932223355443,320.12953983954844,2.84e+03
101500,2414.3512136713994,503.79536834499953,2918.146582016399,324.024895243159,2.84e+03
102000,2368.5084968863493,441.30638501794346,2809.8148819042926,283.83400118449225,2.84e+03
102500,2376.142959765293,456.721294967127,2832.8642547324202,293.74837296181767,2.84e+03
103000,2404.847217150387,518.9222638498715,2923.7694810002586,333.7540254402508,2.84e+03
103500,2397.6473394845116,441.34092879487315,2838.9882682793846,283.85621862515217,2.84e+03
104000,2359.0954925470724,504.41973498779004,2863.5152275348623,324.4264676845415,2.84e+03
104500,2409.0349644294092,493.5364473619598,2902.571411791369,317.4266888964882,2.84e+03
105000,2474.4535204272197,485.80278908604333,2960.256309513263,312.45264989146074,2.84e+03
105500,2399.8003701041507,448.64313058067466,2848.4435006848253,288.5527587629893,2.84e+03
106000,2414.486770710091,390.1886463837561,2804.6754170938475,250.95672412571014,2.84e+03
106500,2341.3119906026204,466.6388504104591,2807.9508410130793,300.12702402832224,2.84e+03
107000,2407.8553270347757,421.0351565420747,2828.8904835768503,270.79620231603286,2.84e+03
107500,2412.1706682702575,482.0915580225776,2894.2622262928353,310.0657060406011,2.84e+03
108000,2360.1586287708087,529.4055987182406,2889.5642274890492,340.49656754356783,2.84e+03
108500,2408.1712961391077,474.88778909382955,2883.0590852329374,305.4324747344827,2.84e+03
109000,2441.6031551532096,448.21386605566863,2889.817021208878,288.27666969689966,2.84e+03
109500,2367.3954842580874,471.2670342825609,2838.6625185406483,303.1037222843033,2.84e+03
110000,2406.642316150772,466.8424404961405,2873.4847566469125,300.25796659018454,2.84e+03
110500,2408.1201685513456,444.75064448482874,2852.8708130361742,286.04923753454835,2.84e+03
111000,2414.20504283776,460.287779664671,2874.4928225024314,296.04222062918376,2.83e+03
111500,2328.183849586336,475.8854487091033,2804.0692982954392,306.0741371487073,2.83e+03
112000,2363.0055491271874,503.8596158469976,2866.865164974185,324.066217159581,2.83e+03
112500,2416.0797906132834,458.7428980036277,2874.8226886169114,295.04860268460624,2.83e+03
113000,2473.826539490957,490.4964405599639,2964.322980050921,315.4714547926275,2.83e+03
113500,2479.478439971258,475.53569882129943,2955.0141387925573,305.8491893268779,2.83e+03
114000,2403.2734744546256,465.76351964196135,2869.036994096587,299.5640395739448,2.83e+03
114500,2392.3562409687593,499.23154529498936,2891.5877862637485,321.08959178742094,2.84e+03
115000,2409.213678349569,492.1424550660777,2901.3561334156466,316.53011811393657,2.84e+03
115500,2388.2924566993247,528.7731940964437,2917.0656507957683,340.0898253339239,2.84e+03
116000,2389.796609050826,428.8849696234722,2818.681578674298,275.84494833712847,2.84e+03
116500,2408.521585102504,430.4433593297193,2838.9649444322235,276.84725421972036,2.84e+03
117000,2427.8714925807935,449.9838196984393,2877.8553122792327,289.41504666445303,2.84e+03
117500,2341.99809328365,501.59568617733436,2843.5937794609845,322.6101307797869,2.84e+03
118000,2340.7957554727477,454.58624205947706,2795.381997532225,292.3751759492835,2.84e+03
118500,2360.1009867970515,433.41207475997413,2793.5130615570256,278.75663601784026,2.84e+03
119000,2399.0943684511417,458.59177396941976,2857.6861424205613,294.95140459103544,2.84e+03
119500,2390.209383183765,396.10585749903504,2786.3152406828003,254.76248303544057,2.84e+03
120000,2342.2452782604764,437.28322279028345,2779.52850105076,281.2464332923018,2.84e+03
120500,2366.097827155078,399.94666596427567,2766.044493119354,257.232766882406,2.84e+03
121000,2364.315627212401,477.06727638080514,2841.3829035932063,306.83425050341447,2.84e+03
121500,2381.1061713146355,454.3156731375617,2835.421844452197,292.2011547651117,2.84e+03
122000,2451.442045322239,475.9864709297729,2927.4285162520123,306.1391113754002,2.84e+03
122500,2415.0493167403656,437.1557462447453,2852.205062985111,281.16444449901525,2.84e+03
123000,2402.1636028303324,453.82652479244734,2855.9901276227797,291.8865503617312,2.84e+03
123500,2427.2970513952455,406.61842856335386,2833.9154799585995,261.5238289149039,2.84e+03
124000,2411.8150266612147,474.5722851115355,2886.3873117727503,305.22955277204494,2.84e+03
124500,2400.053468220554,469.4916760156902,2869.545144236244,301.9618692372385,2.84e+03
125000,2365.3193381760675,525.3254969494021,2890.6448351254694,337.8723779791176,2.84e+03
125500,2419.9676809351427,447.5116983067233,2867.479379241866,287.8250580990349,2.84e+03
126000,2394.3360816509394,483.83968249710483,2878.1757641480444,311.19004319278946,2.84e+03
126500,2362.3956041756373,483.4519825669535,2845.847586742591,310.94068713049427,2.84e+03
127000,2442.6034227031405,450.6952114748526,2893.2986341779933,289.87259085860944,2.84e+03
127500,2407.3614440092533,421.9776566705736,2829.339100679827,271.402387931448,2.84e+03
128000,2377.6333569313747,439.6424067424573,2817.275763673832,282.7637841474192,2.84e+03
128500,2430.8140832268014,497.2800326561992,2928.0941158830005,319.8344419426994,2.84e+03
129000,2427.8083809911777,485.3488261098599,2913.157207101038,312.16067557997525,2.84e+03
129500,2410.2056671163155,453.2947200366323,2863.500387152948,291.5445107338981,2.84e+03
130000,2415.021979915486,490.50503189338644,2905.5270118088724,315.47698046056166,2.84e+03
130500,2463.1921487636637,514.1158756949437,2977.308024458607,330.66271195018334,2.84e+03
131000,2412.703076326831,438.6973872954623,2851.400463622293,282.15597818778684,2.84e+03
131500,2390.6765696761017,495.1036692172274,2885.780238893329,318.43467533182223,2.84e+03
132000,2367.5251059759507,440.6005975514871,2808.125703527438,283.3800615013353,2.84e+03
132500,2384.6986808908914,455.0778257638079,2839.7765066546995,292.6913466969867,2.84e+03
133000,2431.9939470095437,469.5977535380035,2901.591700547547,302.03009487053106,2.84e+03
133500,2371.534432101513,468.0163256835044,2839.5507577850176,301.01297159571413,2.84e+03
134000,2346.050554497022,460.6629915586625,2806.7135460556847,296.2835447903089,2.84e+03
134500,2374.262909363394,424.09807890983143,2798.3609882732253,272.76617497102296,2.84e+03
135000,2394.437009625301,461.27906432790854,2855.7160739532096,296.6797828803352,2.84e+03
135500,2364.689784827399,446.9499910160759,2811.6397758434746,287.4637861274262,2.84e+03
136000,2407.336357775176,461.7803551396946,2869.1167129148707,297.00219692576184,2.84e+03
136500,2374.783517555993,482.60782916988757,2857.391346725881,310.3977549535829,2.84e+03
137000,2423.844145746306,487.28463945036015,2911.1287851966663,313.4057281435319,2.84e+03
137500,2410.7916990101735,507.565047174645,2918.3567461848183,326.44943080784435,2.84e+03
138000,2460.396561928692,512.0426938992425,2972.439255827934,329.3293084368106,2.84e+03
138500,2440.8494696611756,495.4383936676903,2936.287863328866,318.64995927806586,2.84e+03
139000,2373.608602650695,476.55122199427984,2850.159824644975,306.50234100396244,2.84e+03
139500,2332.430057231276,465.8115552886122,2798.241612519888,299.5949345490715,2.84e+03
140000,2430.4763564094887,456.4126028699182,2886.888959279407,293.5498321836659,2.84e+03
140500,2419.176801730352,463.7777069629599,2882.954508693312,298.28682905214157,2.84e+03
141000,2446.134834318751,417.2379302005908,2863.3727645193417,268.3539490822332,2.84e+03
141500,2428.929272091531,457.6877928693516,2886.6170649608825,294.3699931695418,2.84e+03
142000,2402.905040260415,512.723610934537,2915.628651194952,329.7672522626051,2.84e+03
142500,2397.064440806391,510.4722700944928,2907.5367109008835,328.3192626110758,2.84e+03
143000,2389.7939800178424,503.7446341191196,2893.5386141369618,323.9922646291063,2.84e+03
143500,2468.995928208059,467.35552514902895,2936.351453357088,300.5879660529609,2.84e+03
144000,2454.188794640624,477.13771261108934,2931.3265072517133,306.87955280981345,2.84e+03
144500,2415.936742922384,519.8370148104938,2935.7737577328776,334.34236368790664,2.84e+03
145000,2412.7459766401034,458.26890959622426,2871.0148862363276,294.74374866310166,2.84e+03
145500,2419.7382928608513,436.48953053948117,2856.2278234003325,280.7359560934614,2.84e+03
146000,2473.4720770461863,424.60477605101664,2898.0768530972027,273.09206619275426,2.84e+03
146500,2466.4480376726333,451.71456675623324,2918.1626044288664,290.5282072239404,2.84e+03
147000,2404.296882054247,447.7106890131839,2852.007571067431,287.95304248886185,2.84e+03
147500,2387.8851373843136,430.2752903304475,2818.160427714761,276.73915767238293,2.84e+03
148000,2361.7918496091934,425.63548458594994,2787.4273341951434,273.75498460376537,2.84e+03
148500,2363.1906365882246,476.0165986055035,2839.207235193728,306.15848852252367,2.84e+03
149000,2442.723324650961,452.16585473475624,2894.889179385717,290.8184610634026,2.84e+03
149500,2385.081061937289,477.49398814199037,2862.5750500792797,307.10869771433516,2.84e+03
150000,2404.221068204738,442.87250014431,2847.093568349048,284.8412758075732,2.84e+03
150500,2414.545033566736,504.7009147325704,2919.2459482993063,324.6073134069749,2.84e+03
151000,2508.5977927610647,501.5557135063492,3010.153506267414,322.5844216499648,2.84e+03
151500,2433.7129286363943,493.93212999690104,2927.6450586332953,317.68117917645554,2.84e+03
152000,2489.1961001117534,485.00197083243773,2974.198070944191,311.9375894779722,2.84e+03
152500,2461.765039241822,473.44961428216675,2935.2146535239885,304.5074871860238,2.84e+03
153000,2446.514209248011,480.5876150152796,2927.1018242632904,309.09841851473067,2.84e+03
153500,2447.8653286581475,482.35716333777344,2930.222491995921,310.2365347933844,2.84e+03
154000,2428.3648892738497,439.08802209286705,2867.4529113667168,282.40722186182694,2.84e+03
154500,2398.6690663062523,432.8274068248333,2831.4964731310856,278.3805965019186,2.84e+03
155000,2422.0861873581175,458.40507201429523,2880.491259372413,294.831323928822,2.84e+03
155500,2491.823946627665,479.3987149392778,2971.222661566943,308.33375641820015,2.84e+03
156000,2462.5008760802666,537.0483738291535,2999.5492499094203,345.41215343475193,2.84e+03
156500,2432.276810547758,489.4795348276139,2921.756345375372,314.81741389804904,2.84e+03
157000,2503.097501279418,482.92433605766814,2986.0218373370863,310.60132195240965,2.84e+03
157500,2463.210656753261,504.26010095918633,2967.4707577124473,324.32379623766917,2.84e+03
158000,2375.4540783007756,507.7205063149615,2883.174584615737,326.5494171015277,2.84e+03
158500,2419.9270267634556,463.59612705729376,2883.5231538207495,298.1700427265645,2.84e+03
159000,2421.4536455698135,492.26647887729723,2913.7201244471107,316.6098862201224,2.84e+03
159500,2448.849402118861,460.951530088364,2909.800932207225,296.46912344532365,2.84e+03
160000,2346.931347111865,420.6481012252456,2767.5794483371105,270.5472608481888,2.84e+03
160500,2394.0484590617607,411.7706287356441,2805.819087797405,264.83755751582845,2.84e+03
161000,2421.340301723374,424.3192317494794,2845.6595334728536,272.9084133285034,2.84e+03
